name,description,price,compare_at_price,category,stock_quantity,sku,status,weight,is_bestseller,is_special,is_new_arrival,image_name
"Whipped Butter","Luxurious whipped shea butter for deep skin hydration and nourishment",1200.00,1500.00,"Body Butter",50,"TJ-WB-001","active",0.25,false,false,false,"whipped butter.jpeg"
"Vitamin E Oil","Pure vitamin E oil for skin repair and anti-aging benefits",850.00,1000.00,"Facial Oils",30,"TJ-VE-002","active",0.15,false,false,false,"vitamin E oil.jpeg"
"Vitamin C Serum","Brightening vitamin C serum for glowing skin",1500.00,1800.00,"Serums",25,"TJ-VC-003","active",0.10,false,false,true,"vitamin c serum.jpeg"
"Vegetable Glycerine","Natural vegetable glycerine for skin moisturizing",600.00,750.00,"Raw Ingredients",100,"TJ-VG-004","active",0.50,false,false,false,"Vegetable glycerine.jpeg"
"Turmeric Face Mask","Brightening turmeric face mask for even skin tone",800.00,950.00,"Face Masks",40,"TJ-TFM-005","active",0.20,false,false,false,"Tumeric face mask.jpeg"
"TJ Whipped Butter","Signature whipped butter with essential oils",1400.00,1650.00,"Body Butter",35,"TJ-TJW-006","active",0.25,true,false,false,"TJ whipped butter.jpeg"
"Snail Repairing Cream","Advanced snail mucin cream for skin repair",1800.00,2200.00,"Moisturizers",20,"TJ-SRC-007","active",0.15,false,true,false,"Snail repairing cream.jpeg"
"Slim Green Tea","Detox green tea for weight management",650.00,800.00,"Wellness",60,"TJ-SGT-008","active",0.30,false,false,false,"Slim Green tea.jpeg"
"Shea Butter","Pure unrefined shea butter from West Africa",900.00,1100.00,"Raw Ingredients",80,"TJ-SB-009","active",0.50,false,false,false,"Shea butter.jpeg"
"Shaving Cream","Smooth shaving cream for sensitive skin",750.00,900.00,"Men's Care",45,"TJ-SC-010","active",0.20,false,false,false,"Shaving cream.jpeg"
"Rose Water","Natural rose water toner for refreshing skin",700.00,850.00,"Toners",55,"TJ-RW-011","active",0.25,false,false,false,"Rose water.jpeg"
"Rose Hip Oil","Regenerating rose hip seed oil for scars",1200.00,1450.00,"Facial Oils",30,"TJ-RHO-012","active",0.15,false,false,false,"Rose hip oil.jpeg"
"Rose & Hyaluronic Acid Foot Mask","Hydrating foot mask with rose and HA",950.00,1150.00,"Foot Care",25,"TJ-RHF-013","active",0.30,false,false,false,"Rose & Hyralonic acid foot mask.jpeg"
"Rice Repairing Cream","Rice-based cream for skin barrier repair",1100.00,1350.00,"Moisturizers",35,"TJ-RRC-014","active",0.15,false,false,false,"Rice repairing cream.jpeg"
"Rice Milk Soap","Gentle rice milk soap for sensitive skin",450.00,550.00,"Soaps",75,"TJ-RMS-015","active",0.10,false,false,false,"Rice milk soap.jpeg"
"Retinol Hand Cream","Anti-aging retinol cream for hands",850.00,1000.00,"Hand Care",40,"TJ-RHC-016","active",0.12,false,false,false,"retinol hand cream.jpeg"
